alegeri,diaspora,Judet,timestamp,Votantilista,Votantipelistapermanenta,Votantipelistacomplementara,inscrisi_L_permanente,inscrisi_L_complementare,LP,LS,LSC,UM,LT,M_1824,M_2534,M_3544,M_4564,M_65+,F_1824,F_2534,F_3544,F_4564,F_65+
2024-prez-1,0,HR,2024-11-23 02:00,,,,263633,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,IF,2024-11-23 02:00,,,,426754,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,IL,2024-11-23 02:00,,,,220340,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,IS,2024-11-23 02:00,,,,809586,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,MH,2024-11-23 02:00,,,,221479,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,MM,2024-11-23 02:00,,,,419926,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,MS,2024-11-23 02:00,,,,469221,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,NT,2024-11-23 02:00,,,,453976,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,OT,2024-11-23 02:00,,,,346175,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,PH,2024-11-23 02:00,,,,632065,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,SB,2024-11-23 02:00,,,,382452,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,SJ,2024-11-23 02:00,,,,191585,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,SM,2024-11-23 02:00,,,,310277,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,SR,2024-11-23 02:00,,,,0,,0,40882,4227,0,45109,2381,5172,6837,7546,1367,2614,4706,5734,7289,1463
2024-prez-1,0,SV,2024-11-23 02:00,,,,607742,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,TL,2024-11-23 02:00,,,,184884,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
